pid,os,platform,model,submodel
WS-C3850-48XS-F-S,iosxe,cat3k,c3800,
WS-C3850-48XS-S,iosxe,cat3k,c3800,
WS-C3850R-24T-E,iosxe,cat3k,c3800,
WS-C3850R-24T-L,iosxe,cat3k,c3800,
WS-C3850R-24T-S,iosxe,cat3k,c3800,
WS-C3850R-48P-E,iosxe,cat3k,c3800,
WS-C3850R-48P-L,iosxe,cat3k,c3800,
WS-C3850R-48P-S,iosxe,cat3k,c3800,
WS-C3850R-48T-E,iosxe,cat3k,c3800,
WS-C3850R-48T-L,iosxe,cat3k,c3800,
WS-C3850R-48T-S,iosxe,cat3k,c3800,
WS-C3850R-48U-E,iosxe,cat3k,c3800,
WS-C3850R-48U-L,iosxe,cat3k,c3800,
WS-C3850R-48U-S,iosxe,cat3k,c3800,
WS-C3900,iosxe,cat3k,c3900,
WS-C3920,iosxe,cat3k,c3900,
WS-C4003,iosxe,cat4k,c3900,
WS-C4006,iosxe,cat4k,c4000,
WS-C4224V-8FXS,iosxe,cat4k,c4200,
WS-C4500X-16,iosxe,cat4k,c4500,
WS-C4500X-32,iosxe,cat4k,c4500,
WS-C4503,iosxe,cat4k,c4500,
WS-C4503-E,iosxe,cat4k,c4500,
WS-C4506,iosxe,cat4k,c4500,
WS-C4506-E,iosxe,cat4k,c4500,
WS-C4507R,iosxe,cat4k,c4500,
WS-C4507R+E,iosxe,cat4k,c4500,
WS-C4507R-E,iosxe,cat4k,c4500,
WS-C4510R,iosxe,cat4k,c4500,
WS-C4510R+E,iosxe,cat4k,c4500,
WS-C4510R-E,iosxe,cat4k,c4500,
WS-C4840G,iosxe,cat4k,c4800,
WS-C4900M,iosxe,cat4k,c4900,
WS-C4908G-L3,iosxe,cat4k,c4900,
WS-C4912G,iosxe,cat4k,c4900,
WS-C4928-10GE,iosxe,cat4k,c4900,
WS-C4948,iosxe,cat4k,c4900,
WS-C4948-10GE,iosxe,cat4k,c4900,
WS-C4948E,iosxe,cat4k,c4900,
WS-C4948E-F,iosxe,cat4k,c4900,
WS-C5000,iosxe,cat5k,c5000,
WS-C5002,iosxe,cat5k,c5000,
WS-C5500,iosxe,cat5k,c5500,
WS-C5505,iosxe,cat5k,c5500,
WS-C5509,iosxe,cat5k,c5500,
WS-C6006,iosxe,cat6k,c6000,
WS-C6009,iosxe,cat6k,c6000,
WS-C6503,iosxe,cat6k,c6500,
WS-C6503-E,iosxe,cat6k,c6500,
WS-C6504-E,iosxe,cat6k,c6500,
WS-C6506,iosxe,cat6k,c6500,
WS-C6506-E,iosxe,cat6k,c6500,
WS-C6509,iosxe,cat6k,c6500,
WS-C6509-E,iosxe,cat6k,c6500,
WS-C6509-NEB,iosxe,cat6k,c6500,
WS-C6509-NEB-A,iosxe,cat6k,c6500,
WS-C6509-V-E,iosxe,cat6k,c6500,
WS-C6513,iosxe,cat6k,c6500,
WS-C6513-E,iosxe,cat6k,c6500,
WS-X3011-CH,iosxe,cat3k,c3000,
